text,label
ഡോക്ടർ  രാജേഷ് കുമാർ  പക്ഷേ ഡെലിവറി സമയത്ത് ഏതെങ്കിലും കൊറോണ രോഗിയുടെ സ്രവം അതിൽ ആയാൽ പോരേ ഡെലിവറി  പയ്യൻ  തന്നെ ലക്ഷണം പ്രകടിപ്പിക്കാത്ത രോഗബാധിതൻ ആയാലോ,Non_hope_speech
ban tiktok save our future,not-malayalam
ഊളൻപാറയിൽ പോകേണ്ട അവസ്ഥയുടെ വക്കിലൂടെയാണ് ഹോമോഫോബിയ ഉള്ള ആളുകൾ പോകുന്നത് അന്യന്റെ വ്യക്തിപരമായ കാര്യത്തിൽ തലയിട്ട് കമന്റടിക്കുന്നത്,Hope_speech
ടിക്കറ്റോക് ഉം കളിക്കാരൻ  അജ്ഞാതം  യുദ്ധം  നിലം  യും ഇല്ലാത്ത ഞാൻ,Non_hope_speech
ഇന്ത്യൻ  നിർമ്മിച്ചത്  ടിക്കറ്റോക് ഞൻ ഡൗൺലോഡ്  ചെയ്തു പക്ഷേ  തുറക്കുക  അവനില്ല,Non_hope_speech
വ്യാസ് ആഴത്തിലുള്ള  ഞാൻ നിങ്ങടെ സഹോദരനല്ല,Non_hope_speech
ഒന്നുകൂടി വായിച്ചു നോക്കുക,Non_hope_speech
ആവി പിടിക്കുന്നത് കൊണ്ട് തെറ്റൊന്നും ഇല്ല പക്ഷെ അതുകൊണ്ട് കോവിഡ് വരില്ല എന്ന് വിശ്വസിക്കരുത്,Hope_speech
അവതാരകൻ ഒരു guy  ആണ്,Non_hope_speech
helsinki palem on but nairobi helsing in but palemoberlin,not-malayalam
ലൂഥ് നബിയുടേയ ചരിത്രം  കാണുക എല്ലാവരും നിങ്ങൾ  ട്യൂബിലുണ്ട്,Non_hope_speech
ഇത്ര ബൗദ്ധികമായ ഒരു ഓഡിയൻസ് ജനകീയ കോടതിയിൽ ഇതുവരെ കണ്ടിട്ടില്ല ആ കയ്യടി,Hope_speech
അല്ല സഹോദരൻ  ആൺ  ആയി ജനിച്ചെ പിന്നീട് കൗമാരക്കാർ  പ്രായത്തിൽ ഹോർമോൺ  മാറ്റങ്ങൾ  കാരണം പെൺ  ആയി മാറുന്ന അവസ്ഥ ആണ് ട്രാൻസ്‍ജിൻഡർ ഒപ്പം  ആൺ  ട്ടോ പെൺ  ട്രാൻസ്‌വോമെൻ പെൺ  ട്ടോ ആൺ  ട്രാൻസ്‌മെൻ ഒപ്പം  ചുരുക്കം പറഞ്ഞാൽ ഒരു ശരീരത്തിൽ ആൺ  ഒപ്പം  പെൺ  ലൈംഗിക  അവയവങ്ങൾ  ഉണ്ടാകും പക്ഷേ  മനസുകൊണ്ട് ഒന്നുകിൽ ആൺ  അല്ലെങ്കിൽ പെൺ  ആയിരിക്കും,Hope_speech
മൂന്നാമത്തെ ചോദ്യം ചോദിച്ചത് ഒരു കുണ്ടൻ,Non_hope_speech
dark web please,not-malayalam
ഇപ്പറഞ്ഞ അപ്ലിക്കേഷൻ  കളൊന്നും ഇല്ലാത്ത ഞാൻ,Non_hope_speech
എത്രയും പ്രവാസികളെ രോഗികൾ ആക്കിയത് ഫ്‌ലൈറ്റാണ് സർക്കാർ ഇടപെട്ടു കര്ശനമായ മുന്കരുതല്  എടുപ്പിക്കണം,Non_hope_speech
നല്ലൊരു ശതമാനം പെണ്ണുങ്ങളും ബൈസെക്ഷ്വൽ  ആണെന്ന് തോന്നിട്ടുണ്ട് ഞാൻ ദോ അല്ല  അറിയുക  എന്തുകൊണ്ട്,Non_hope_speech
വിചിത്രമായത്  ങൾ പങ്കിടുക  മുഴുവനും ചൈനയിൽ ആണ്,Non_hope_speech
ടോയ്‌ലറ്റ്  ഇൽ തന്നെയാണ് ആ സ്നേഹം  കത്ത്  വായിക്കേണ്ടത്,Non_hope_speech
നികേഷ് പുഷ്ക്കരൻ ശരി സന്തോഷം,Non_hope_speech
ടിക്കറ്റോക് പോയ സജ്ജമാക്കുക,Non_hope_speech
ആഷിഖ് ഷാജഹാൻ,Non_hope_speech
സ്കൂൾ പിള്ളേർ ആണ് ബ്രോ ഇതൊക്കെ അറിയേണ്ടത് എങനെ ഒരാൾ അവരുടെ കൂടെ ഉണ്ടേൽ അവർ ഒറ്റപ്പെടുത്തെ ഇരിക്കാൻ വേണ്ടി ഈ ഒരു സ്കൂൾ പ്രായത്തിൽ ആണ് പലരും ഇത് തിരിച്ചറിയുന്നതും,Hope_speech
അവര് കല്യാണം കഴിച്ചാൽ സമൂഹത്തിനു പ്രശ്നം ഉണ്ടാകും പക്ഷെ ആ പ്രശ്നം എന്താണെന്ന് എനിക്ക് അറിഞ്ഞുട ആഹ്ഹ അന്തസ്സ് പൊട്ടൻ കെവിൻ,Non_hope_speech
ജാതി മതം ആണെന്നോ പെണ്ണെന്നോ ഒന്നും നോക്കിയില്ല ഒരുപാടു സങ്കടം തോന്നി കരഞ്ഞു കുറെ,Hope_speech
അലി  അതേ  ലിംഗഭേദം  വിവാഹം  തെറ്റാണു,Non_hope_speech
നല്ല അവതരണം ഇവർ നിഷ്കളങ്കരാണ്,Hope_speech
ഇത് അയച്ച ഫോൺ  ഏതാ,Non_hope_speech
നല്ലൊരു കുടുംബിനിയാണ് സുറിയാമ്മ ഒരു കുഞ്ഞിനും കൂടി ജന്മം നൽകാൻ ദൈവം അനുഗ്രഹിക്കട്ടെ,Hope_speech
കളിക്കാരൻ  അജ്ഞാതം  യുദ്ധം  നിലം  ഇല്ലാതാക്കുക  ചെയ്യണം എന്നാണ്,Non_hope_speech
സെൽറ്റിച്ച പ്രപഞ്ചം  ടെലിഗ്രാം  ഇത് ഒരു മലയാളി നഗ്നനായി  സ്ത്രീയെ കാണാറില്ലേ അതാണ് ആൾ,Non_hope_speech
ചിരിക്കാതെ ഇങ്ങനെ ഇരിക്കും ആളുകള്‍ ഇതൊക്കെ കെയ്റ്റ് വന്നല്ലോ ഒള്ളു ഇത് ഒരു തുടക്കം അല്ലെ,Non_hope_speech
സന്തോഷം  കല്യാണം  വാർഷികം  സുര്യചേച്ചി ഒപ്പം  ഇഷാനിക്കാൻ സ്നേഹം  നിങ്ങൾ  വേഗം ഒരു വാവ ഉണ്ടാവട്ടെ കെട്ടോ ഉമാ,Hope_speech
നന്ദു ജി സഹോദരൻ  ഇപ്പൊ ഏതു മൊബൈൽ  ആയാലും,Non_hope_speech
ഒരു കുണ്ടൻ അപാരത,Non_hope_speech
ആണോ എങ്ങനെ അറിയാം പുല്ലിനെ പരിചയം ഇൻഡോ  ഞാൻ ശരാശരി  അറിയാവുന്ന ആൾ ആണോ,Non_hope_speech
മതമില്ലാത്ത ജാതികൾക്കു ഏതു തീട്ടവും തിന്നാം,Non_hope_speech
കുട്ടി ഒരിക്കല് ഹാപ്പി ആവില്ല ആ കുട്ടിയുടെ കഷ്ടകാലം,Non_hope_speech
ഹംസ വാവ്ബ സഹോദരൻ  അങ്ങനൊന്നും പറയല്ലേ ഏത് അവരുടെ തെറ്റല്ല അത് മനസ്സിലാകണമെങ്കിൽ അവരെ ആഴത്തിൽ മനസ്സിലാക്കണം ഞനും ഒരു സ്വവർഗ്ഗാനുരാഗി  ആണ് സഹോദരൻ  എങ്ങനെയൊക്കെ പറയുമ്പോ കീറിമുറിക്കുന്ന പോലുള്ള വേദനയാണ് എനിക്ക് ഇനിയെങ്കിലും ഇങ്ങനെയൊന്നും പറയരുത്,Hope_speech
ഹാപ്പി വെഡിങ് ആനിവേഴ്സറി ഗോഡ് ബ്ലെസ് യൂ,Hope_speech
മാലാഖ  മേരി  വര്ഗീസ് ഉം,Non_hope_speech
ഒന്നും പറയാൻ ഇല്ലാ താങ്കൾ മികച്ച ഒരു അവതാരകൻ തന്നെ ആണ് മിസ്റ്റർ  അരുൺ ഓരോ എപ്പിസോഡും അതിന്റെതായ പാക്കുതയോടെ താങ്കൾ കൈകാര്യം ചെയ്യുന്നു,Hope_speech
ട്രാൻസന്റാജേഴ്സിന്റെ കാലം കഴിഞ്ഞോ ഇപ്പോ ഇതാണോ കാലം,Non_hope_speech
thank you sir,not-malayalam
മാറേണ്ടത് ഇവർല്ല സമൂഹത്തിന്റെ ചിന്താഗത്തിയാണ്,Hope_speech
ഇ അപ്ലിക്കേഷൻ  കള്ക്ക് പകരം അപ്പസ്‌ ഒന്ന് പറഞ്ഞു തരുമോ,Non_hope_speech
അഭിപ്രായം  പെട്ടി  കാണുമ്പോൾ ഒരുപാട് സന്തോഷം ടോണുന്ന,Non_hope_speech
ആദ്യം നീ ഉപയോഗം  ചയ്യന്ന ഫോൺ  എടുത്ത് കളായ,Non_hope_speech
പക്ഷെ അതിൽ സവർണ സ്ത്രീകൾ ഇല്ലല്ലോ,Non_hope_speech
good video,not-malayalam
സത്യം പരന്ന ചിരിച്ച സംസരിച്ഛ് കൊണ്ട്ട് ഇരിക്കുന്നത് തന്നെ നല്ല സ്വഭാവക്കാരുടെ ശീലത്തിൽ ഒന്നാണ്,Hope_speech
thank you sir,not-malayalam
ധൈര്യമായി മുന്നോട്ട് പോകുക,Hope_speech
കുട്ടികൾ ഇല്ലാത്തവർ ചികിൽസിക്കും ഇവരെയും ചികിൽസിക്കണം എന്നു ഉത്തരവും കിട്ടും,Non_hope_speech
വച്ചു മുപ്പട്ട,Non_hope_speech
ടൈൽ കിക് നെ കുറിച്ച ഒരു വീഡിയോ  ചെയ്യാമോ,Non_hope_speech
sonu look like balabasker,not-malayalam
വ്യാസ് ആഴത്തിലുള്ള  നിയമപരമായി വിജയിച്ചത് കൊണ്ട് മാത്രം ആയില്ല ഇവിടെയുള്ള മതാധിഷ്ഠിതമായ മൂല്യബോധങ്ങൾ ആണ് മാറേണ്ടത് എന്തായാലും,Hope_speech
സൊസിയോസ്‌ 007 അത് വെറും തെറ്റിദ്ധാരണ മാത്രം സൗ ജന്യം  തീ  മ്ബ് കുറവായത് കൊണ്ട് കൂടുതൽ ഡൗൺലോഡ്  ഉണ്ട് എന്നെ ഉള്ളു പക്ഷെ എന്തുകൊണ്ടും കളിക്കാരൻ  അജ്ഞാതം  യുദ്ധം  നിലം  തന്നെ ആണ് മികച്ചത്,Non_hope_speech
അഖിൽ ദേവ് സോറി ഇപ്പഴാ മനസിലായത്,Non_hope_speech
അല്ല കളിക്കാരൻ  അജ്ഞാതം  യുദ്ധം  നിലം  ചൈനീസ്  അല്ല അത് ഉണ്ടാക്കിയത് ഐറിഷ്  കാരനും കൊറിയൻ  ഗ്രൂപ്പുകൾ  കൂടിയാണ് ഉണ്ടാക്കിയത്,Non_hope_speech
പൊളി താനെ അപ്പൊ എല്ലാം വിശ്രമം  ഇൻ സമാധാനം  അല്ലെ,Non_hope_speech
ഖുറാനിൽ പറഞ്ഞിട്ടുണ്ട് ഗേ റിലേഷൻ പാടില്ല ഇങ്ങനെ ഒരു അവസ്ഥ വന്നത് എന്ത് ചെയ്യാം,Non_hope_speech
അരുൺ ഈസ് ഉണ്ട്  ചെയ്യുന്നു  ഓർ അസ് പണി പാളിയ,Non_hope_speech
ഡാ കോപ്പേ നീ പൊളി അല്ലാ അതുക്കും മേലേ,Non_hope_speech
ഒരു പാടിഷ്ട്ട സൂര്യ അമ്മയെ,Hope_speech
അത് ഊഹിക്കാൻ കഴിയില്ലേ കണ്ടാൽ ചിലപ്പോൾ മനുഷ്യൻ എന്ന ജന്തുവിന് വട്ടായിപോവും,Non_hope_speech
വിടമാറ്റ ചൈനീസ് അപ്ലിക്കേഷൻ  ആണോ,Non_hope_speech
സാർ കുറച്ചു നാളുകൾ മുൻപ് ഇങ്ങനെ ഒരു പത്ര സമ്മേളനം നടത്തുകയോ അല്ലേ മൊത്തം ടെലിവിഷൻ  ചാനുകളെ വിളിച്ചു ഇങ്ങനെ പറഞ്ഞാരുന്നേൽ ഇത്രയും പകരില്ലാരുന്നു,Non_hope_speech
സ്വവർഗാനുരാകത്തിന് സൈക്കളോജിക്കൽ ഡോക്ടേഴ്സ് ചികിത്സ നടത്തുന്നുണ്ട് ചികിത്സിക്കണമെങ്കിൽ അത് നല്ലതാവാൻ സാധ്യതയില്ല മാനസികമായ പ്രശ്നം ആണെന്നാണ് സൈക്കളോജിക്കൽ ഡോക്ടേഴ്സ് പറയുന്നത് ഗായിസം സപ്പോർട്ട് ചെയ്യുന്നവർ പ്രൂവ് ചെയ്യാനായി പല ആശയങ്ങൾ ഉന്നയിക്കുന്നു അതാണ് ഈ വീഡിയോയിൽ താങ്കൾ വിലയിരുത്തുന്നത് വളരെ മോശമായിപ്പോയി,Non_hope_speech
സത്യം ഞാൻ ഇവിടെ അറിയാതെ പോലും കൈ അടിച്ചു പോയി പുള്ളിക്കാരൻ പിണ്ഡം  അല്ല മരണ പിണ്ഡം  ആൺ കെവിൻ  ഇന്റെ പ്ലിങ്ങിയ മുഖം കണ്ട ചിരിച്ച ഉപ്പാടിലാക്കി,Hope_speech
നാണം ആവുന്നേ aye,Non_hope_speech
ആമേൻ ട്വൻ പിന്നെ ഏതു ഫോൺ  വാങ്ങും ചൈനയുടെ ബാറ്ററി  എങ്കിലും ഇല്ലാത്ത ഒരു കമ്പനി  യുടെ പേര് പറയോ,Non_hope_speech
മുഹമ്മദ്  ജാസിം ആര് പറഞ്ഞു,Non_hope_speech
നികേഷിന്റെ മനസുള്ള ഒരു പെൺകുട്ടിയെ എനിക്ക് കിട്ടിയിരുന്നുവെങ്കിൽ അവളെ ഞാൻ സ്വർഗം കാണിക്കും,Non_hope_speech
പള്ളിപ്രമാണം മാറ്റി എഴുതേണ്ടി വരും അത് പവലിച്ഛ്,Non_hope_speech
ആ കോട്ട്  ഇട്ട ചെങ്ങായി വന്നപ്പോ കാണാനുള്ള ആ ഒഴുക്ക്  അങ്ങട്ട് പോയി,Non_hope_speech
സജ്‌ന ഒപ്പം  ഗെയ്‌സ് നു പെണ്ണുങ്ങളോട് അട്രാക്ഷൻ തോന്നില്ല സഹോദരി,Hope_speech
ആ കറുത്ത കോട്ടിട്ടവനായ കെവിൻ എന്ന നാറിയെ എന്റെ കൈയിൽ കിട്ടിയാൽ അടിച്ച് അവന്റ ചെവിക്കല്ല് പൊട്ടിക്കണം,Non_hope_speech
ആദ്യം നീ പോയ്‌ ഗേ ഒപ്പം  ലെസ്ബിയൻ  എന്താണെന്ന് പടിക്കെടോ ഇറ്റ് ഈസ് കൂടാതെ  എ ദയ  ഓഫ് ഹോർമാനാൽ മാറ്റം  നിന്റെ ശരീരത്തിലെ എല്ലാ മാറ്റങ്ങളും നിയന്ത്രണം  ചെയുന്നത് നിന്റെ ഹോർമോണുകൾ  ആണ് മത ഭ്രാന്ത് പിടിച്ച നായെ,Non_hope_speech
കൽക്കി ട്ടാ തോഴന്  ഇത് കത്തി കേറട്ടെ ട്ടാ,Hope_speech
സ്എൻഡർ പകരം സാപിയ അപ്ലിക്കേഷൻ  ഉപേയാഗിക്കാം,Non_hope_speech
നൗഫിൻ നിങ്ങൾ ഇരുട്ട്  ഫാൻ അല്ലെ,Non_hope_speech
ഇതാ ആ കോട്ട്  ഇട്ട പൊട്ടൻ,Non_hope_speech
ഞൻ എന്റെ ഫോൺ  യിലുള്ള എല്ല  ചൈനീസ്  ആപ്പുകളും അൺ‌ഇൻ‌സ്റ്റാൾ‌ ചെയ്യുക  ചെയ്തു,Non_hope_speech
തോമസ്  വര്ഗീസ് എന്താ ഉദ്ദേശിച്ചത്,Non_hope_speech
riyas parengal correct,not-malayalam
ജഗൻ ടോം  ഖുർആനിൽ പറഞ്ഞാലും ഇല്ലങ്കിലും പ്രകൃതി വിരുദ്ധം തന്നെയാണ്,Non_hope_speech
അവൻ മാര് അങ്ങോട്ടുമിങ്ങോട്ടും വാണം വിടും എന്നിട്ട് ഒരുത്തൻ ഒരുത്തന്റെ കുതി മണപ്പിക്കും ചെറ്റകൾ,Non_hope_speech
ഒരു സ്വവർഗ്ഗാനുരാഗി  വിവാഹം  ചെയ്ത ജീവിതം  ഹി ഇഷ്ടം  ആകുമ്പോൾ ഏതു ആണ് സാരി  ഏന് പറയും,Hope_speech
നമ്മുക് ഇഷ്ടമുള്ളതേ പോൾ  നമ്മൾ ജീവിക്കും ആരും തലയിടാൻ വരണ്ട,Hope_speech
മാനസികമായി ചികിൽസിച്ചാൽ മാറാവുന്ന അസുഖം,Non_hope_speech
ഡോക്ടർ  എഎം ബ്ലോഗർ പ്രിയസുഹൃത്തേ ഒന്നു മനസിലാക്കുക ലൈംഗിക  ഓറിയന്റൻ ബാഹ്യ  ഘടകങ്ങൾ  കൊണ്ട് ചേഞ്ച്‌ ആകുന്ന ഒന്നല്ല സ്വവർഗരതി  ആയ ഒരാൾക്കു ഒരിക്കലും ഹെറിട്രോസ്‌തുതാൽ ആകാനോ മറിച്ചോ പറ്റില്ല എല്ലാം  ഇവ  ആകുന്നു  ഇൻബോൺ,Hope_speech
19 പ്രധാന  രവി സിനിമ  ഡയലോഗ്  പറയില്ല,Non_hope_speech
ഞാനും കരഞ്ഞുപോയാലോ ദൈവമെ ദൈവം  അനുഗ്രഹിക്കണമേ  നിങ്ങൾ  സൂര്യ ചേച്ചി,Hope_speech
ഇല്ല മോനെ പറ്റത്തില്ല ഒപ്പം  ഹഹ,Non_hope_speech
ജയ് ഹിന്ദുസ്ഥാൻ  ഒപ്പം  ജയ് മോഡി ജി,Non_hope_speech
മസാക്കലി നീ മൊഞ്ചുള്ള ചെക്കന്മാരെ കണ്ടിട്ടില്ലേ നിനക്ക് കാഴ്ച കുറവുണ്ടോ,Non_hope_speech
ഈ വാർത്തയ്ക്ക് ഏതവന്മാരാ അനിഷ്ടം  അടിക്കുന്നത്,Non_hope_speech
ഇതുതുടർന്നാൽ പിന്നീട് ഇത് സാധാരണമാവും അതു ശരിയല്ല ഒരു ഫാഷൻ ലോകമായി രൂപം പ്രാപിച്ചാൽ ജനസംഖ്യ കുറയും അമ്മ അച്ഛൻ കുഞ്ഞ് അതൊരു വികാരമാണ് ആർക്കും ഇങ്ങനെ ഒന്നും തോന്നാതിരിക്കടാടെ,Non_hope_speech
ജഡ്ജിയാണെന്നു പറഞ്ഞ് ഒരു മനുഷ്യനെ എന്തിനാ ഇങ്ങനെ കോമാളിയാക്കി വെച്ചിരിയ്ക്കുന്നത്‌ 24 ഒരു വേഷം കേട്ടൽ ചാനൽ മൊട്ടയുടെ ശബ്ദം വല്ലാതെ മടുപ്പിയ്ക്കുന്നു,Non_hope_speech
എൻറെ കമന്റ് ഏത് തായോളി ആണ് ട തൂക്കുന്നത്,Non_hope_speech
ഓ കളിക്കാരൻ  അജ്ഞാതം  യുദ്ധഭൂമി  പോവോ,Non_hope_speech
ഫ് മീഡിയ  അതിനേക്കാളും ലുഡോ കളിക്കുന്നതല്ലേ നല്ലത് ചിരിപ്പിക്കാതെ സഹോദര,Non_hope_speech
തെണ്ടികൾ പോയി ചാകട നാറികളെ പട്ടിയെ കല്യാണം കഴിച്ചൂടെ ചെറ്റകളെ നീ ഒമ്പതാണോടാ നാറി,Non_hope_speech
പത്തു പി ഹ അതും ശരിയാ എങ്കിലും അമ്മക്ക് തന്നെ വേണം,Non_hope_speech
ഗവൺമെൻറിൻറെ തീരുമാനം വന്നാലും വന്നില്ലെങ്കിലും അൺ ഇൻസ്റ്റാൾ ചെയ്തു കഴിഞ്ഞിരിക്കുന്നു,Non_hope_speech
മോഹ്ദ് ചൈനയാണ് വിപണി  പങ്കിടുക,Non_hope_speech
നിങ്ങളെ ദൈവം അനുഗ്രഹിക്കട്ടെ,Hope_speech
രണ്ടു പേരും നല്ല മനസ്സിനുടമകൾ ഒപ്പം  വേറെ പെൺകുട്ടികളുടെ ജീവിതം തുലാക്കാതെ ഈ ജീവിതം തിരഞ്ഞെടുത്തതിന്   ണ്  പക്ഷെ ഒരു കുട്ടിയെ ദത്തെടുത്തു കൊണ്ട് ആകുട്ടിയുടെ ജീവിതം ദുരന്ധം ആയി മാറാതിരിക്കട്ടെ സമൂഹത്തിൽ ഒരുപാട് കുട്ടികൾ തെരുവിൽ അലയുന്നു എന്ന് പറഞ്ഞ് ഇതിനെ ന്യായീകരിക്കാൻ ആവില്ല   ണ്  സ്വന്തം കുടുംബത്തിൽ ഈ ഒരവസ്ഥ വരുന്നതിനെ ആത്മാർത്ഥമായി അനുകൂലിക്കുന്നവർ ഇതിനെ സപ്പോർട്ട് ചെയ്യട്ടെ   ണ്  കലികാലം,Hope_speech
എല്ലാം മനോഭാവം  ന്റെ പ്രശ്നം ആണ്,Hope_speech
എന്ത് സ്നേഹമുള്ള ചേച്ചി നിങ്ങളെ ഒന്ന് കാണാനും പരിചയപ്പെടാനും ആഗ്രഹമുണ്ട് ബൈ അശ്വതി മുതൽ  നിലംബൂർ മലപ്പുറം,Hope_speech
അഫിനോ നീ എന്നെ കുറിച്ച് പറഞ്ഞത് കൊണ്ടാണ് തിരിച്ചു നിന്നെ പറ്റി പറഞ്ഞത് ഞാൻ സമഹൂത്തിലെ രണ്ടു വ്യക്‌തികളെ പറ്റി ഒരു ന്യൂസ്‌ ചാനലിൽ ആണ് കമന്റ്‌ ചെയ്ത് അല്ലാണ്ട് നിന്റെ ചാനലിൽ വന്നിട്ട് നിന്നെ പറ്റി അല്ല കമെന്റ് ചെയ്തത് ബട്ട്‌ നീ എന്നെ വ്യക്‌തിപരമായി ആണ് അധിക്ഷേപിക്കാൻ നോക്കിയതു മനസ്സ്  ഇറ്റ്,Non_hope_speech
mohammed sali from kerala trivan doctor um,not-malayalam
ഇതാ ഈ കെവിൻ  വിവരം ഇല്ലാത്ത കഴുത,Non_hope_speech
കെവിൻ ഇങ്ങനെ ഉള്ള ഒരാളായി ജനിക്കണമായിരുന്നു,Non_hope_speech
nice video,not-malayalam
എന്തോ എനിക്കിത് ശരി വെക്കാൻ തോന്നുന്നില്ല,Non_hope_speech
കെവിൻ  എന്നൊക്കെ കേട്ടപ്പോ വല്യ പുള്ളി ആണെന്നൊക്കെ തോന്നി,Non_hope_speech
ക്ര 7  ണ്  ഇ കമൻ്റ് വയിച്ച് ആദ്യം ഞങ്ങൾ ഒന്ന് ചിരിക്കട്ടേ ന്ന ഹിന്ദു എന്നത് ഒരു മതമാണല്ലേ ണ്  നല്ല അറിവുള്ള മഹാൻ ണ്  തത്വമസിയെ പ്പറ്റി വല്ല ധാരണയും,Non_hope_speech
സൂര്യാമ്മ ഇഷാൻക്ക യു ദൈവ൦ അനുഗ്രഹിക്കട്ടെ,Hope_speech
അടുത്ത എപ്പിസോഡ് പറയും ഓക്കേ,Non_hope_speech
എന്ത് വട്ടു അനോടായ് ഏതൊക്കെ,Non_hope_speech
കുറച്ചു കാര്യങ്ങളും കൂടി എല്ലാവരും ശ്രദ്ധിക്കുക പൊതുജന ആരോഗ്യം മുൻ നിർത്തി എന്റെ വ്യക്തിപരമായ അഭിപ്രായം ഒപ്പം  1 കൊച്ചു കുട്ടികളെയും,Non_hope_speech
ഷഫീർ പി സുടാപ്പി വന്നല്ലോ,Non_hope_speech
ഉണ്ട ഒരു മാതിരി ഉമ്മ പ്രോഗ്രാം ആയിപോയി അഭിഭാഷകൻ  ആളൂർ നെ കാട്ടിയ കോടതി പൊളിച പ്രോഗ്രാമേ മിസ്റ്റർ  അരുൺ പരാജയപ്പെടുക,Non_hope_speech
ചേട്ടാ വിമൻസ് ഹോസ്റ്റൽ ൽ എല്ലാടത്തും ഇങ്ങനെ ഉണ്ടാവില്ലെന്ന് കൂടി പരരായിരുന്നു വീഡിയോ  ൽ വളരെ സാദാരണമായുള്ള ഹോസ്റ്റൽ ൽ ജീവിക്കുന്നെ പെൺകുട്ടികൾ അല്ലെ നല്ലൊരു ശതമാനവും ഇതൊക്കെ കണ്ട ആൺകുട്ടികൾ ഹോസ്റ്റൽ ൽ നിന്ന് പഠിച്ച പെൺകുട്ടികളുടെ കല്യാണ ആലോചനകൾ വരുമ്പോ വേണ്ടെന്ന് വെക്കുമോ പഠിക്കാൻ വേണ്ടി മാത്രം ഹോസ്റ്റൽ ൽ പോയി പൈസ യും കൊടുത്തു നിക്കുന്നവരെ ആരും തെറ്റിദ്ധരിക്കല്ലേ,Hope_speech
salman ul farisi me too,not-malayalam
ജഗൻസ് വീഡിയോ  ലോഗുകൾ,Non_hope_speech
a big salute,not-malayalam
നിങ്ങൾ പ്രണയിക്കൂ,Hope_speech
ന്തൊക്കെയാണ് ലക്ഷണങ്ങൾ ഉണ്ടായത്,Non_hope_speech
ഏതു പൂറി മോനാടാ ഉൺലൈക്ക് അടിച്ചേ,Non_hope_speech
